0	0
0	1
0	2
0	8
0	9
0	11
0	18
0	24
1	0
1	1
1	8
1	9
1	20
1	24
1	27
2	0
2	1
2	4
2	6
2	7
2	8
2	9
2	16
2	23
2	24
3	0
3	3
3	10
3	11
4	0
4	4
4	6
4	24
5	0
5	2
5	3
6	0
6	2
6	6
6	13
6	19
6	23
7	0
7	1
7	24
8	0
8	4
8	6
8	12
9	1
9	2
9	4
9	5
9	6
9	9
9	11
9	14
9	17
9	21
9	23
9	25
10	1
10	5
10	11
10	18
11	1
11	9
11	13
11	19
12	1
12	4
12	26
13	1
13	7
13	10
13	25
14	1
14	12
14	24
15	1
15	5
15	12
15	15
16	1
16	2
16	3
16	5
16	23
16	28
17	1
17	6
17	11
18	1
18	2
18	23
19	1
19	10
19	12
19	18
19	22
19	26
20	1
20	2
20	10
20	13
21	1
21	8
21	17
22	1
22	4
22	6
22	9
22	11
22	12
22	23
22	24
22	25
22	26
22	28
23	1
23	6
23	9
23	16
23	24
23	27
24	1
24	4
24	5
24	6
24	13
24	23
24	24
25	2
25	16
25	20
25	28
26	14
26	18
26	24
26	25
26	27
27	2
27	4
27	12
28	2
28	3
28	4
28	24
29	2
29	14
29	15
30	2
30	9
30	18
30	19
30	22
30	24
30	25
30	27
31	2
31	6
31	19
31	24
32	2
32	5
32	24
33	4
33	9
33	18
34	5
34	16
34	20
35	6
35	13
35	24
36	7
36	9
36	10
36	11
37	8
37	12
37	18
38	9
38	11
38	12
38	13
38	15
38	17
38	20
38	23
38	24
38	27
39	9
39	11
39	15
39	20
39	24
39	27
40	9
40	11
40	19
40	21
41	19
41	20
42	11
43	11
43	13
44	11
44	20
44	24
45	11
45	19
45	20
46	11
46	19
46	20
46	22
47	11
47	14
47	15
48	12
48	13
48	24
49	13
49	17
49	24
49	26
50	13
50	26
51	16
51	25
52	20
52	27
52	28
53	21
53	22
53	25
53	28
