YuNi	【逃げちゃダメだ】残酷な天使のテーゼ 歌ってみた - yuni 【新世紀エヴァンゲリオン】	残酷な天使のテーゼ
YuNi	【眼球全開】ラプンツェル 歌ってみた - yuni	ラプンツェル
YuNi	【コラボ】からくりピエロ 歌ってみた - 響木アオ × yuni	からくりピエロ
YuNi	【愛してくれ】シャングリラ 歌ってみた - yuni【チャットモンチー】	シャングリラ
YuNi	【生きろ】命に嫌われている。 歌ってみた - yuni	命に嫌われている。
YuNi	【猛暑対策】white breath 歌ってみた - yuni 【t.m.revolution】	white breath
YuNi	【わたしのヒカリ】lemon 歌ってみた(生歌) -yuni 【米津玄師】	lemon
YuNi	【甲子園につれてって!】タッチ 歌ってみた(生歌) - yuni	タッチ
YuNi	【うー!にゃー!】太陽曰く燃えよカオス 歌ってみた(生歌) - yuni 【這いよれ!ニャル子さん】	太陽曰く燃えよカオス
YuNi	【苦手発覚】crossing field 歌ってみた(生歌) - yuni 【ソードアート・オンライン】	crossing field
YuNi	【初コラボ】 ペガサス幻想 小宇宙が燃えるまで歌ってみた(生歌) - 小山内めい x yuni 【聖闘士星矢】	ペガサス幻想
YuNi	【エアギター】夏祭り 歌ってみた(生歌) - yuni 【whiteberry / jitterin'jinn】	夏祭り
YuNi	【こっち向いてったら!】おねがいダーリン 歌ってみた(生歌) - yuni	おねがいダーリン
YuNi	【みつかっちゃった...】secret base ~君がくれたもの~ 歌ってみた(生歌) - yuni【あの花】	secret base ~君がくれたもの~
YuNi	【初デュエット】打上花火 歌ってみた(生歌) - yuni 【daoko × 米津玄師】	打上花火
YuNi	【yuni...執行官になる。】名前のない怪物 歌ってみた(生歌) 【psycho-pass/egoist】	名前のない怪物
YuNi	【サンキュー】 ハロ/ハワユ 歌ってみた(生歌) - yuni	ハロ/ハワユ
YuNi	【うっふん♡】ラムのラブソング 歌ってみた(生歌) - yuni 【うる星やつら】	ラムのラブソング
YuNi	【昭和の名曲】異邦人 歌ってみた(生歌) - yuni 【久保田早紀】	異邦人
YuNi	【ダークyuni】スーサイドパレヱド 歌ってみた(生歌)	スーサイドパレヱド
YuNi	【息継ぎ必死】シャルル 歌ってみた(生歌) - yuni	シャルル
